reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,problemaUsabilidade
29a391b4-d677-4927-aeab-6ec83f67fbc7,Angelita Souza,https://play-lh.googleusercontent.com/a-/ACB-R5T11LYju354FtYganO_6DFY5m4Hfwm2FRYDjtuKWw,"O jogo é lindo. Procurei aplicativos pagos, e a maioria é muito inferior a este. E o depoimento do desenvolvedor é maravilhoso. Parabéns pela iniciativa de tornar acessível algo essencial que é a educação. 👏❤️",5,25,1.6.2000,2023-05-04 08:42:24,Thank you for your kind words and appreciating our efforts 🙏❤️👍. This truly inspires us to read reviews from parents and is our biggest reward! 🥰🤩👍,2023-05-04 11:01:53,1.6.2000,0
a6cf92e1-0f8b-460c-90ff-4dc126fb15e3,Gislaine Guilherme,https://play-lh.googleusercontent.com/a/AGNmyxbj2YGelG3eLRiQHBs3XRAhk1kd-v7xGb3dgoi5=mo,Esse jogo é muito bom e fácil e é bem legal pras pessoas que não sabem de conta é bom estalar mas é muito massa minha filha amou e ela é muito inteligente mas falta um pouco pra ela ficar muito melhor vale a pena valeeeeee👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻♥️😍✌🏻🎉🎉nota 10,5,34,1.6.2000,2023-04-24 23:47:19,"Que bom que gostou! Compartilhe e apoie a educação das crianças. Conte a pais, professores, escolas e organizações sem fins lucrativos. 🤩🤩🤩🤩🤩👍🙏
",2023-04-27 10:36:27,1.6.2000,0
f1d59b55-5e5c-4ed1-88ad-63b027037059,Hermenegildo Mussinda,https://play-lh.googleusercontent.com/a-/ACB-R5Rxl-oMq6asvtmvzMAtCJXGMKvXz6n_h9Sg5zLW,"o jogo é divertido e educador, a minha filha está a aprender muito com este jogo.",5,3,1.6.2000,2023-05-03 17:03:39,"Obrigado pela avaliação 5 estrelas e apoio.
",2023-05-04 11:06:01,1.6.2000,0
f10d0842-e908-4c92-8259-40ce0d387d17,ALYSSON WERNECK,https://play-lh.googleusercontent.com/a-/ACB-R5RNCCnmXfBFdVQnU_Vm_0R_YFZVII_U_BTsBjwD,"Fui pesquisar jogos de crianças de 9a12 anos eu tenho 10anos,mais oq insina nesse jogo e adição e eu já tô quase aprendendo raíz quadrada. Acho q esse jogo é sim de 4 a 6,isso sim.jogo orrivel se possível daria 0 estrelas para esse jogo de bebê🚼",1,39,1.6.2000,2023-04-16 23:54:17,Square Root is for slightly older kids and not in this game. We have another game that is for slightly older kids and has more advanced math problems. Be sure to search for our company name in PlayStore for our other Math games 😀,2023-04-17 09:37:33,1.6.2000,0
55d7ba6b-9111-40de-a837-8f8b223a2103,Ana luiza Monteiro de Jesus,https://play-lh.googleusercontent.com/a-/ACB-R5Sz21XLBQ8bB_pwaULUWTrAUCEgJs1PgAnHb2ib9Q,maravilhoso. ajuda muito crianças como minha filha que tem TDAH a aprender.,5,10,1.5.2009,2023-04-11 13:45:56,"Que bom que gostou! Compartilhe e apoie a educação das crianças. Conte a pais, professores, escolas e organizações sem fins lucrativos. 🤩🤩🤩🤩🤩👍🙏
",2023-04-12 08:51:07,1.5.2009,0
44b2fe4c-04d0-4ea7-baef-a018640bc51b,Abrão Morais Número Dois,https://play-lh.googleusercontent.com/a-/ACB-R5SZ3LuOlGZOdgExxZCpHqOTZNxaMEjINyCnRMnd,Muito obrigado! Este é um dos melhores aplicativos para criança no mundo. Está a ajudar,5,85,1.5.2008,2023-03-21 05:42:18,"Obrigado pela avaliação 5 estrelas e apoio.
",2023-03-21 07:30:37,1.5.2008,0
2f8ccac2-0bad-4f5e-8f7b-eff7a38b5aa0,Ana beatryz Inacio da Silva,https://play-lh.googleusercontent.com/a/AGNmyxbTgSTvvtUFLoLNJFO2MSlnzuhEqkzNa8YcVz_u=mo,A menina falou que o jogo é horrível KKK o jogo é maravilhoso e-sim ensina muito bem não é só porque você aprendeu outras pessoas vão deixar de aprender isso sim é para você,5,4,1.6.2000,2023-04-24 03:48:02,"Que bom que gostou! Compartilhe e apoie a educação das crianças. Conte a pais, professores, escolas e organizações sem fins lucrativos. 🤩🤩🤩🤩🤩👍🙏
",2023-04-27 10:34:42,1.6.2000,0
fce83447-80db-4dd0-ba59-f03ea4031f76,Patrícia Dias,https://play-lh.googleusercontent.com/a/AGNmyxYWw2lRr9Cd7xSxwtBqOqfXZ7htHoM3mHYNmkY=mo,Muito bom encina as crianças matemática e outras coisas. Minha irmã de 6 anos aprendeu muito só que eu acho que podia melhorar pra ser mais maduro e mais difícil pra crianças saberem coisas novas não tem problema errar mas elas tem que aprender coisa mais difícil e aprenderem sozinhas com ajuda dos pais ou responsável mas também por etapas para cada idade de cada criança!!😉,5,578,1.2.2002,2020-04-30 20:43:46,"Que bom que gostou! Compartilhe com pais, escolas, creches e muito mais",2020-05-01 13:27:32,1.2.2002,1
45bf7014-53f0-43e8-9570-5c1de77cda6a,Bizy lindona (Bizy),https://play-lh.googleusercontent.com/a-/ACB-R5S0UOj0mvmF2pEeqpTc7-q7kTIx8UASOSUjjwLZgQ,"Adorei! Super apelativo e ajuda muito na aprendizagem das crianças... A minha irmã começou a fazer os exercícios do app e aprendeu muito rápido, recomendo muito! O uso de recompensas, como os autocolantes e os brinquedos que são dados como recompensa após fazer uma certa quantidade de exercícios são boa técnica para manter a criança a jogar! Muito bom, usem!",5,477,1.5.2000,2022-07-01 19:20:58,"Que bom que gostou! Compartilhe e apoie a educação das crianças. Conte a pais, professores, escolas e organizações sem fins lucrativos. 🤩🤩🤩🤩🤩👍🙏

",2022-07-05 10:03:08,1.5.2000,0
de03eaae-e376-4263-aa21-c6931c686de5,Jamilly Moreira,https://play-lh.googleusercontent.com/a-/ACB-R5RN3JOUzcq41MPu09J9q78povyg6IK4KL5ei26L4ig,"Gostei! Não tem anúncios.. é bem educativo,e tbm vc aprende, não tenho problema pra destacar...o jogo é maravilhoso, é bom pra crianças de 09 anos que tá aprendendo matemática ou 8 anos,isso com certeza ajudará crianças de 8 anos pra cima...o jogo fica meio enjoativo,mas é bom👍💫💫💫❤️",5,989,1.3.2007,2021-08-25 13:11:20,Thank you so much for updating your review! It really means a lot to the whole team. 🙏,2021-08-26 11:49:28,1.3.2007,1
